round,reward,cumulative_reward,price_selected,produced,lambda_value,distribution_changed
645,0.0,65.39999999999999,0.0,False,10.075016625296486,False
646,0.0,65.39999999999999,0.0,False,10.046556126354972,False
647,0.0,65.39999999999999,0.0,False,10.018095627413457,False
648,0.0,65.39999999999999,0.0,False,9.989635128471942,False
649,0.0,65.39999999999999,0.0,False,9.961174629530428,False
650,0.0,65.39999999999999,0.0,False,9.932714130588913,False
651,0.0,65.39999999999999,0.0,False,9.904253631647398,False
652,0.0,65.39999999999999,0.0,False,9.875793132705883,False
653,0.0,65.39999999999999,0.0,False,9.847332633764369,False
654,0.0,65.39999999999999,0.0,False,9.818872134822854,False
655,0.0,65.39999999999999,0.0,False,9.79041163588134,False
656,0.0,65.39999999999999,0.0,False,9.761951136939825,False
657,0.0,65.39999999999999,0.0,False,9.73349063799831,False
658,0.0,65.39999999999999,0.0,False,9.705030139056795,False
659,0.0,65.39999999999999,0.0,False,9.67656964011528,False
660,0.0,65.39999999999999,0.0,False,9.648109141173766,False
661,0.0,65.39999999999999,0.0,False,9.619648642232251,False
662,0.0,65.39999999999999,0.0,False,9.591188143290736,False
663,0.0,65.39999999999999,0.0,False,9.562727644349222,False
664,0.0,65.39999999999999,0.0,False,9.534267145407707,False
665,0.0,65.39999999999999,0.0,False,9.505806646466192,False
666,0.0,65.39999999999999,0.0,False,9.477346147524678,False
667,0.0,65.39999999999999,0.0,False,9.448885648583163,False
668,0.0,65.39999999999999,0.0,False,9.420425149641648,False
669,0.0,65.39999999999999,0.0,False,9.391964650700134,False
670,0.0,65.39999999999999,0.0,False,9.363504151758619,False
671,0.0,65.39999999999999,0.0,False,9.335043652817104,False
672,0.0,65.39999999999999,0.0,False,9.30658315387559,False
673,0.0,65.39999999999999,0.0,False,9.278122654934075,False
674,0.0,65.39999999999999,0.0,False,9.24966215599256,False
675,0.0,65.39999999999999,0.0,False,9.221201657051045,False
676,0.0,65.39999999999999,0.0,False,9.19274115810953,False
677,0.0,65.39999999999999,0.0,False,9.164280659168016,False
678,0.0,65.39999999999999,0.0,False,9.135820160226501,False
679,0.0,65.39999999999999,0.0,False,9.107359661284987,False
680,0.0,65.39999999999999,0.0,False,9.078899162343472,False
681,0.0,65.39999999999999,0.0,False,9.050438663401957,False
682,0.0,65.39999999999999,0.0,False,9.021978164460442,False
683,0.0,65.39999999999999,0.0,False,8.993517665518928,False
684,0.0,65.39999999999999,0.0,False,8.965057166577413,False
685,0.0,65.39999999999999,0.0,False,8.936596667635898,False
686,0.0,65.39999999999999,0.0,False,8.908136168694384,False
687,0.0,65.39999999999999,0.0,False,8.879675669752869,False
688,0.0,65.39999999999999,0.0,False,8.851215170811354,False
689,0.0,65.39999999999999,0.0,False,8.82275467186984,False
690,0.0,65.39999999999999,0.0,False,8.794294172928325,False
691,0.0,65.39999999999999,0.0,False,8.76583367398681,False
692,0.0,65.39999999999999,0.0,False,8.737373175045295,False
693,0.0,65.39999999999999,0.0,False,8.70891267610378,False
694,0.0,65.39999999999999,0.0,False,8.680452177162266,False
695,0.0,65.39999999999999,0.0,False,8.651991678220751,False
696,0.0,65.39999999999999,0.0,False,8.623531179279237,False
697,0.0,65.39999999999999,0.0,False,8.595070680337722,False
698,0.0,65.39999999999999,0.0,False,8.566610181396207,False
699,0.0,65.39999999999999,0.0,False,8.538149682454693,False
700,0.0,65.39999999999999,0.0,False,8.509689183513178,False
701,0.0,65.39999999999999,0.0,False,8.481228684571663,False
702,0.0,65.39999999999999,0.0,False,8.452768185630148,False
703,0.0,65.39999999999999,0.0,False,8.424307686688634,False
704,0.0,65.39999999999999,0.0,False,8.395847187747119,False
